X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,LABEL_NAME,DATELASTMODIFIED
-76.98703522,38.91897728,70,nhood_013,Brentwood,http://NeighborhoodAction.dc.gov,Brentwood,2003-04-10T00:00:00.000Z
-77.00042543,38.91520184,71,nhood_040,Eckington,http://NeighborhoodAction.dc.gov,Eckington,2003-04-10T00:00:00.000Z
-77.01239416,38.90966731,72,nhood_119,Truxton Circle,http://NeighborhoodAction.dc.gov,Truxton Circle,2003-04-10T00:00:00.000Z
-76.99162689,38.91038948,73,nhood_069,Ivy City,http://NeighborhoodAction.dc.gov,Ivy City,2003-04-10T00:00:00.000Z
-76.98273699,38.90846246,74,nhood_118,Trinidad,http://NeighborhoodAction.dc.gov,Trinidad,2003-04-10T00:00:00.000Z
-76.97248975,38.91485976,75,nhood_005,Arboretum,http://NeighborhoodAction.dc.gov,Arboretum,2003-04-10T00:00:00.000Z
-76.97784979,38.90246526,76,nhood_024,Carver,http://NeighborhoodAction.dc.gov,Carver,2003-04-10T00:00:00.000Z
-77.01687926,38.90241699,77,nhood_139,Mount Vernon Triangle,http://NeighborhoodAction.dc.gov,Mount Vernon Triangle,2019-05-01T00:00:00.000Z
-77.01127535,38.90253216,78,nhood_095,North Capitol Street,http://NeighborhoodAction.dc.gov,North Capitol Street,2003-04-10T00:00:00.000Z
-77.02917452,38.90052615,79,nhood_036,Downtown,http://NeighborhoodAction.dc.gov,Downtown,2003-04-10T00:00:00.000Z
-77.04113386,38.90295185,80,nhood_032,Connecticut Avenue/K Street,http://NeighborhoodAction.dc.gov,Connecticut Avenue/K Street,2003-04-10T00:00:00.000Z
-77.04792844,38.89962774,81,nhood_055,George Washington University,http://NeighborhoodAction.dc.gov,George Washington University,2003-04-10T00:00:00.000Z
-77.05243626,38.89902171,82,nhood_044,Foggy Bottom,http://NeighborhoodAction.dc.gov,Foggy Bottom,2003-04-10T00:00:00.000Z
-77.05188247,38.90555034,83,nhood_125,West End,http://NeighborhoodAction.dc.gov,West End,2003-04-10T00:00:00.000Z
-77.03733448,38.88446306,84,nhood_087,Monumental Core,http://NeighborhoodAction.dc.gov,Monumental Core,2003-04-10T00:00:00.000Z
