OBJECTID,TRACT,GEOID,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
79,6804,11001006804,499.9170838,0.78112045,6734.287255,2023092.673,1427126,31692,1403283,15698,1213118,15245,1517968,16825.5,1893345,26956,1977861,21076
80,6900,11001006900,101.3774853,0.15840232,2860.13228,410260.1299,96831762,74417,117789037,79464.5,111579539,75970,124386107,78466,124366685,83717,136440279,86964.5
81,7000,11001007000,103.8770495,0.16230789,2909.008064,420375.5074,105497762,75046.5,113568529,74503,116461048,73158.5,119493354,77934,126183172,81669,147508156,83749
82,7100,11001007100,180.7082325,0.28235662,3852.778052,731300.2755,73551776,42529,90074658,44333,88319005,43479,89640055,41845,90963474,44853,100613150,49413.5
83,600,11001000600,356.5130678,0.55705167,5202.370432,1442757.207,882856096,87171,413850238,81528.5,838428665,84947,887637225,91538,883701442,98902.5,1101811669,103485
84,701,11001000701,135.8615743,0.21228371,3198.46539,549812.2876,268583555,68493,265927884,68775,291704733,68526.5,312019324,70192.5,302248205,72115,322343565,73385
85,702,11001000702,72.37383693,0.11308412,2738.796618,292886.5285,86235734,50407,121237434,56357.5,113045300,52965,116865629,55189,98468564,56642.5,117499800,58111
86,801,11001000801,760.0951203,1.18764863,8440.167935,3075995.838,556165589,97849.5,429046240,94346,582273934,94581,932925890,99819.5,682255278,114495,762051697,122703
87,802,11001000802,563.0443164,0.87975675,6636.141912,2278559.521,211883023,89712.5,240968712,78663,288028817,83610,342246891,84441,354030099,94580,379610865,94907
88,901,11001000901,748.3641243,1.16931895,7095.702947,3028522.181,610398683,166298,443181730,138978.5,674640174,153391,754404800.1,168203,760449847,189371,946256227,197155
89,2802,11001002802,56.34356824,0.08803683,2102.606972,228014.3323,76017142,25506,113498858,31154.5,98267866,28033.5,104928617,28800,90869593,29954,111655848,34182
90,2900,11001002900,74.70801484,0.11673127,2357.398917,302332.6115,95743613,29736,137466819,37310,117975868,32774,132985526,35366,134545107.6,33953.5,158259296,36677
91,3000,11001003000,52.36530139,0.08182078,1881.223518,211914.8575,80525394,36678.5,108032013,42954,99841782,39491,114641347.3,40710.5,96242269,40821,113004657,45303
92,3100,11001003100,72.84079601,0.11381374,2574.255445,294776.2449,60468985,28420,96124283,35170,75002721,31472.5,86351514.2,34062,92848628,36878,109392822,39963
93,3200,11001003200,109.9259668,0.17175932,3050.48105,444854.6074,91044809,27905.5,119332154,31551,103489228,29164,117284066,29825,120006056,32218,139048784,35833.5
94,9811,11001009811,115.3839958,0.18028749,3543.40432,466942.4673,36490017,20544,41515657,18977,39029707,20337,39500324,18576,41258037,20195.5,44315187,20516
95,9901,11001009901,519.4044816,0.81156951,5944.80074,2101955.375,70749621,53475,68391309,49969,72050910,48382,71597532,51018.5,75281959,52425,78879964,51745
96,9902,11001009902,319.8713549,0.499799,5340.361444,1294473.455,54350597,38024,57137569,37244,54368604,36560,59607982.49,40299.5,58509163,38499.5,62164914,38607
97,9903,11001009903,92.86866799,0.14510729,3223.432199,375826.1677,32456553.32,33233.5,35118730,33430,32138301,32154,33996201,33445.5,36133543,33897,40012643,36360.5
98,9904,11001009904,104.9661255,0.16400957,2987.978458,424782.8417,26767870,26576.5,35494438.76,27487,27871815,26508,31120583,25681.5,34077779,28267,38243219,29601.5
99,9905,11001009905,106.6063745,0.16657246,2908.054569,431420.6939,30819168.68,26468,36150350,27355,31738883,25668,34320695,25986,35638365,26497,40068077,28297
100,9906,11001009906,61.26893443,0.09573271,2139.297318,247946.5823,16913306,27813,21931724,26833,17588909,26361,19399569,29004,22813412,28540,24288526,28732
