OBJECTID,TRACT,GEOID,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
138,9700,11001009700,101.3149124,0.15830455,3393.279077,410006.9065,37230924,28163.5,41269716,27242,39880533,28285,40335605,26811,41436665.8,27024,42553067,28849
139,9801,11001009801,110.8391105,0.17318611,3275.822031,448549.9687,16467492,24531.5,19048407,25883.5,19081986,27074.5,18248824,25989,17778638.57,23323.5,19288881,24214
140,9802,11001009802,49.60026818,0.07750042,2124.243896,200725.165,15926462,24440,18186608,23629,15540000,24559,16598367,23436,15661896,21843.5,17489336,21172
141,7807,11001007807,129.4221394,0.20222209,3369.640893,523752.8192,26964218,27911.5,29022672,25588,27172275,26950.5,29864189,26722,31685807,25848,32933216,27008
142,7808,11001007808,234.8368053,0.36693251,4159.121607,950350.8393,44146628.79,27911,47655483,24266,44039061,26488,45848749,25835,51644760,26059.5,55871889,27844.5
143,8701,11001008701,95.00421447,0.14844409,2699.849929,384468.4178,48565203,34711,70853972,37790,57403391,35334,65364292,38164,74587120,41781,86810333,44960
144,8702,11001008702,117.2238161,0.18316221,3710.812891,474387.9558,28412101,32251,59322798,41675,30878869,32047,43104817,38477.5,74934828,47601,159109427,53754
145,8802,11001008802,116.5697592,0.18214025,2848.579921,471741.0813,62141902.81,28875.5,80440359,31959.5,68412661,29125,73584575,29903,86766327.42,35199,99751561,38882.5
146,8803,11001008803,284.5769847,0.44465154,5287.299629,1151642.205,9823344,16056,14330450,16546,11668374,16917,12715225,16095,18786961,21519,22956326,24186
147,9803,11001009803,131.2132499,0.2050207,3195.473389,531001.1863,30971202,26640,33847590,23984,33180603,25128.5,33226454,25227,35039724,25379,37398304,26262.5
148,9804,11001009804,128.0743509,0.20011617,3761.594319,518298.5125,32581400,27829,34316210,27427.5,33095951,27152.5,34012746,27000,37891027,28276.5,40708270,29122
